complaint_id,customer_id,channel,business_line,complaint_datetime,complaint_text,true_theme
CMP_00001,CUST_5506,Email,Cards,2025-03-13T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00002,CUST_7912,Email,Retail Banking,2025-02-17T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00003,CUST_9279,Social Media,Retail Banking,2025-10-15T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00004,CUST_4611,Chat,Home Loans,2025-01-04T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00005,CUST_6574,Chat,Cards,2025-04-21T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00006,CUST_2519,Chat,Retail Banking,2025-07-03T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00007,CUST_1711,Social Media,Digital Banking,2025-10-02T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00008,CUST_2291,Social Media,Home Loans,2025-11-18T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00009,CUST_4150,Social Media,Retail Banking,2025-01-24T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00010,CUST_2307,Email,Retail Banking,2025-07-14T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00011,CUST_6977,Email,Home Loans,2025-07-01T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00012,CUST_2169,Social Media,Cards,2025-10-01T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00013,CUST_8573,Chat,Home Loans,2025-11-24T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00014,CUST_6313,Email,Cards,2025-01-17T00:00:00,Unable to reset password,Account_Access
CMP_00015,CUST_5386,Email,Cards,2025-10-18T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00016,CUST_9179,Chat,Digital Banking,2025-03-15T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00017,CUST_5040,Social Media,Home Loans,2025-10-27T00:00:00,Waiting days for a resolution,Service_Delay
